,ML Model,R2 Score,RMSE Score
0,Decision Tree,0.7612554914244876,968.558806191564
1,Random Forest,0.9531025488301156,429.27334103337574
2,ADA Boost,0.9440646876438479,468.8158999356257
3,XG Boost,0.9654356920896121,368.5303259244776
